priceUSD,Predictive value
-0.7202866528,-0.7057813438180331
-0.7193527339,-0.7163485511950807
-0.7199877987000001,-0.7121389017196378
-0.7209217176,-0.7162739441343109
-0.7215941392,-0.7072626578244718
-0.7222665608,-0.7111814665768671
-0.7239476148999999,-0.6936119771974374
-0.7245453229000001,-0.6902168606633817
-0.7256660256,-0.711652892404748
-0.7255913120999999,-0.7363856433553111
-0.7251056743000001,-0.7649264360890464
-0.7248068202,-0.7135281819017452
-0.724993604,-0.7518261715711958
-0.724844177,-0.7329847859952076
-0.7249188905,-0.720664856051723
-0.7247694634999999,-0.6952367050209829
-0.7225654148999999,-0.7406206899232384
-0.7245826797,-0.7167711262213474
-0.7242838256999999,-0.6974656236198336
-0.7240970419,-0.7257373326495031
-0.7242838256999999,-0.7366281011938692
-0.7246200365000001,-0.7284633995491218
-0.7248815338,-0.72861854047475
-0.7270855824,-0.7358248822984095
-0.726525231,-0.7386632210608288
-0.7267493716,-0.7382910127335471
-0.7281315715000001,-0.7467185251852149
-0.7306344742,-0.7583078992231878
-0.7276459337000001,-0.7377354263493912
-0.7286545661,-0.7224565049948364
-0.7293643445,-0.7062609058733893
-0.7292522742,-0.6518457802777943
-0.7291775607,-0.7658423037637049
-0.7281689283,-0.7542987766197824
-0.7285424959000001,-0.7650895312379876
-0.7288787067,-0.7522298776363975
-0.7290654904,-0.7562412710442674
-0.7291775607,-0.7433820778671494
-0.729737912,-0.7616452535558543
-0.7303356201000001,-0.7314002304657969
-0.7311574688,-0.7628494372683784
-0.732651739,-0.7583070004006878
-0.7318672471,-0.7689900094307202
-0.732352885,-0.7634775201841194
-0.7314189661,-0.7669518401280825
-0.7320166742,-0.7572566915810431
-0.7322781715000001,-0.7706023135259711
-0.7341833659999999,-0.7807281155431639
-0.7335109444,-0.7776008378232347
-0.7338097984999999,-0.7770929488270039
-0.7336230147,-0.7072755521909811
-0.7325396688,-0.67447106564824
-0.7328011659999999,-0.7784828015234587
-0.7351172849,-0.7236555450551267
-0.7344075066,-0.7870691126638063
-0.7348184309,-0.7830272808569599
-0.7359764903,-0.7812449938392696
-0.7369851226999999,-0.7884908944077313
-0.7391144578,-0.7906368037751929
-0.7374707606,-0.7938075299372341
-0.7379937551000001,-0.7786403511465027
-0.7405713713,-0.7801920168786968
-0.7400857335,-0.7929893144775465
-0.7419162145,-0.7925255326201268
-0.7441949766,-0.7825073972273725
-0.7401230902,-0.7959889764837036
-0.7382926092000001,-0.7887228180379873
-0.7390771011,-0.7866460855208415
-0.7380684687000001,-0.7943529365607523
-0.7392265281,-0.794557841083507
