datetime,priceUSD,activeAddresses,adjustedVolume,paymentCount,exchangeVolume,priceBTC
2018-01-04,2.8230390182,3.7397046512,5.588763863,5.5467661658,3.9792072235,0.8039989062
2018-01-05,2.8754879037,3.6609959314,4.3810125628,4.9372796884,4.1104964342,0.8062303307
2018-01-06,2.9479600105,3.4393451679,3.4597615005,4.4772140772,2.638832779,0.6042079981
2018-01-07,3.1267494451,3.0395428356,4.6350456026,3.8150998363,3.2998010587,0.6882370917
2018-01-08,3.5572860589,3.3488424188,7.0737491945,4.2050670658,5.3978427575,1.048269195
2018-01-09,3.511486676,3.7180678836,6.9225877218,4.6933807416,5.0442888906,1.2309714175
2018-01-10,4.0880508493,3.3465061788,7.2236506252,4.3031136388,5.9541816691,1.6766889105
2018-01-11,3.9675753109,3.3788816856,6.3628718598,4.2757591967,4.5130151676,1.5293677603
2018-01-12,3.5573981292,3.0033112055,4.6195464024,3.7132268801,3.046689521,1.575219524
2018-01-13,3.9764662189,3.2532357818,4.1954266039,4.1089876617,3.4286071279,1.7408420161
2018-01-14,4.4509343779,2.9096027635,4.0119915556,3.371935084,2.7694814436,1.9472598788
2018-01-15,4.330384126,3.6730288945,5.9901436827,4.2071122017,2.7254026987,2.0112782689
2018-01-16,4.0592487904,3.8346674947,5.4302568822,4.5992385189,5.3644687388,1.8198129643
2018-01-17,3.195224379,3.7299415576,5.5740489232,4.6817696475,5.4664330175,1.8005376086
2018-01-18,3.0274925442,3.5050718271,4.1418002176,4.1963047681,3.5681030096,1.7310279652
2018-01-19,3.0737402082,2.5760978762,3.2991474197,2.9768880009,2.2180944607,1.7059646514
2018-01-20,3.1339966558,2.0547048747,2.2186544433,2.5605319213,2.1385300946,1.693803562
2018-01-21,3.5476480158,2.9278413639,3.1746685152,3.2795861037,1.7037152347,1.6943071415
2018-01-22,3.1728476821,2.3592191483,3.0026634213,2.8528783979,2.0183096923,1.7295696042
2018-01-23,2.9816558045,2.1103830474,3.2837575727,2.5443927405,1.8337809577,1.763984701
2018-01-24,2.9193073786,1.9713834085,3.4585980046,2.41159685,2.1158462612,1.7244536895
2018-01-25,3.2022474491,1.4388999044,3.5814198036,1.6172684727,2.1931459723,1.8085785599
2018-01-26,3.1629481417,2.1379068741,3.7029095103,2.746027545,1.878194703,1.8231161559
2018-01-27,3.1743419523,1.7266755498,2.196898104,2.1180808675,1.4304758962,1.8548668855
2018-01-28,3.3836518567,1.8463348388,3.1710545047,2.3033066052,3.1559429013,1.9352557616
2018-01-29,3.8876692097,2.0741514173,4.7375789471,2.4380516722,1.949115052,2.2411269516
2018-01-30,3.6539279869,1.9372026255,4.3976023671,2.3900659473,2.2351418238,2.1969123956
2018-01-31,3.2316472162,1.95341029,3.7493027413,2.3409287089,1.980049552,2.2381242422
2018-02-01,3.4120056345,2.2967446413,4.6871066991,2.7265177883,3.07536645,2.3508864843
2018-02-02,3.0997031537,2.251247696,4.8331673123,2.8911962077,4.1324450192,2.4827448301
2018-02-03,2.6642728048,1.6317326174,1.81204324,2.0012202439,1.6056907994,2.1673330313
2018-02-04,2.834096618,1.6618050694,1.9754100171,1.9232172021,1.4262668594,2.2104539083
2018-02-05,2.3495421349,1.8611420868,2.6781184341,2.3288797999,2.3528718142,2.0710884068
2018-02-06,1.874289484,1.8948118174,2.4582956876,2.3941082393,3.9904290844,2.0513311639
2018-02-07,2.1831925,1.6641147612,2.2265564242,2.0124235103,2.0809941021,2.1032122237
2018-02-08,2.0539754808,1.1871634147,0.9709593652,1.2890031727,1.9440976893,2.0044862069
2018-02-09,2.2879782008,1.5207811318,1.3862080632,1.6886743021,1.0612364791,2.0040891506
